Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
38,Samarth Garden ,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,802.0,22443.0,20.0,2,2,180.0
39,Swan Lake Apartment ,1 101 Khar West Mumbai South West Mumbai,Khar Mumbai,10+ Year,Ready To Move,Carpet Area,1943.875,43437.375,0.0,4,4,399.5
40,Unnamed Property,Sindhi Society Chembur Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,591.0,22335.0,2.0,1,2,130.0
41,Parinee Essence ,Kandivali West Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,557.0,25134.0,7.0,2,2,140.0
42,Lalani Grandeur ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1531.0,24820.0,15.0,3,3,380.0
43,Unnamed Property,A 74 Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,980.0,23469.0,7.0,2,2,230.0
44,Unnamed Property,Jogeshwari West Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Carpet Area,640.0,28125.0,8.0,2,2,180.0
45,Spring Hills ,901 Hiranandani Estate Thane Mumbai,Hiranandani-Estate Thane,10+ Year,Ready To Move,Super Built Up Area,1415.0,18091.0,9.0,3,3,256.0
46,Unnamed Property,4 14 Andheri East Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Built Up Area,610.0,18852.0,1.0,1,1,115.0
47,Unnamed Property,Charni Road South Mumbai Mumbai,Road Mumbai,10+ Year,Ready To Move,Carpet Area,950.0,31578.0,4.0,3,1,300.0
48,Unnamed Property,Building No 67 Pant Nagar Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,627.0,30303.0,12.0,2,2,190.0
49,Unnamed Property,Thane West Thane Mumbai,Thane Thane,10+ Year,Ready To Move,Built Up Area,850.0,14118.0,3.0,2,2,120.0
50,Shyam Niwas Apartment ,Chembur Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1231.0,22339.0,5.0,3,3,275.0
51,Gami Vivaan ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,71.7,43437.375,11.0,3,3,295.0
52,Unnamed Property,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,1250.0,28000.0,3.0,3,3,350.0
53,Unnamed Property,Flat No 201 Near Karnik Road Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Built Up Area,871.0,8610.0,2.0,2,2,75.0
54,Unnamed Property,Nalasopara West Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,595.0,5882.0,3.0,2,1,35.0
55,Bharat Shiv Sai Paradise ,Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,951.0,17692.0,1.0,2,2,115.0
56,Unnamed Property,Dadar west Mumbai South West Mumbai,Dadar Mumbai,10+ Year,Ready To Move,Built Up Area,1180.0,40254.0,4.0,3,2,399.5
57,Unnamed Property,Gajanan Colony Road Jawahar Nagar Goregaon West Mumbai,Nagar Goregaon,1 to 5 Year,Ready To Move,Carpet Area,870.0,24712.0,2.0,3,3,215.0
58,Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1943.875,15000.0,3.0,3,3,300.0
59,Unnamed Property,Katrap Badlapur East Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Carpet Area,945.0,4391.0,4.0,2,2,41.5
60,Fortune Springs ,1003 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,670.0,15454.0,10.0,1,1,68.0
61,Lodha Casa Ultima ,A 404 Chirak Nagar Thane Mumbai,Nagar Thane,10+ Year,Ready To Move,Super Built Up Area,594.0,13132.0,4.0,1,2,78.0
62,Unnamed Property,2d 203 Near Lokhandwala Circle New Mhada Verosva Versova Mumbai,Verosva Versova,10+ Year,Ready To Move,Carpet Area,695.0,25899.0,2.0,2,2,180.0
63,Unnamed Property,Borivali West Borivali West Mumbai,Borivali Borivali,10+ Year,Ready To Move,Carpet Area,776.0,32989.0,3.0,2,1,256.0
64,Royal Palms Estate ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,1080.0,9259.0,-1.0,2,2,100.0
65,Unnamed Property,Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Carpet Area,590.0,33898.0,10.0,2,2,200.0
66,Oberoi Woods ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Super Built Up Area,1250.0,27200.0,2.0,3,2,340.0
67,Parinee Adney ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1060.0,25862.0,1.0,2,2,165.0
68,Unnamed Property,Divyam Heights Near Azad Nagar Metro Station Andheri West Mumbai,Station Andheri,1 to 5 Year,Ready To Move,Super Built Up Area,1120.0,12053.0,8.0,2,2,155.0
69,Lodha Palava City ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,467.0,11349.0,6.0,1,2,53.0
70,Serenity Complex ,Oshiwara Mumbai,Oshiwara Mumbai,10+ Year,Ready To Move,Carpet Area,1525.0,22950.0,14.0,3,3,350.0
71,Om Classic ,Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,900.0,15889.0,4.0,2,2,143.0
72,Unnamed Property,A 2 8 Kopri Thane Mumbai,Kopri Thane,10+ Year,Ready To Move,Super Built Up Area,919.0,13057.0,2.0,1,1,120.0
73,Unnamed Property,Prabhadevi South Mumbai Mumbai,Prabhadevi Mumbai,10+ Year,Ready To Move,Carpet Area,725.0,43437.375,7.0,2,2,375.0
74,Shreeji Splendor ,Brahmand Thane Mumbai,Brahmand Thane,5 to 10 Year,Ready To Move,Built Up Area,540.0,12222.0,0.0,1,1,66.0
75,Unnamed Property,B 403 gulmohar Chs opp To Shivai School near Nahur Railway Station East Nahur East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,635.0,15748.0,4.0,2,1,100.0
76,Arihant Anmol ,Badlapur East Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,635.0,3937.0,1.0,1,1,25.0
77,Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,350.0,20571.0,1.0,1,1,72.0
78,Unnamed Property,Sector 19 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,340.0,16470.0,3.0,1,1,56.0
79,Unnamed Property,Gorai 2 Mumbai,Gorai Mumbai,10+ Year,Ready To Move,Super Built Up Area,1125.0,16000.0,2.0,2,2,180.0
80,Sumit Woods Sharda Sahaniwas ,B 603 Borivali East Mumbai,B Borivali,1 to 5 Year,Ready To Move,Super Built Up Area,1025.0,15121.0,6.0,2,2,155.0
81,K Raheja Paradise Apartment ,Raheja Vihar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1535.0,24104.0,11.0,3,3,370.0
82,Unnamed Property,Indralok Phase 2 Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Built Up Area,512.0,12207.0,3.0,1,2,62.5
83,Unnamed Property,Kandivali West Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Super Built Up Area,1943.875,21000.0,12.0,5,5,399.5
84,Unnamed Property,Plot No 14 Sector 21 Ghansoli Navi Mumbai Maharashtra 400701 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1040.0,12500.0,1.0,2,2,130.0
85,Unnamed Property,Dhokali Thane Mumbai,Dhokali Thane,10+ Year,Ready To Move,Built Up Area,730.0,10273.0,2.0,2,2,75.0
86,Unnamed Property,Opposite Archarya Collage Near Freeway Chembur Mumbai 400071 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Built Up Area,575.0,25000.0,17.0,1,2,125.0
87,Unnamed Property,B 407 Raghunath Nagar Thane Mumbai,Nagar Thane,10+ Year,Ready To Move,Carpet Area,660.0,12878.0,3.0,1,1,70.0
88,Unnamed Property,Kalbadevi Kalbadevi South Mumbai Mumbai,Kalbadevi Mumbai,1 to 5 Year,Ready To Move,Carpet Area,400.0,43437.375,9.0,1,1,190.0
89,Unnamed Property,Dombivli East Dombivli East Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Carpet Area,440.0,7272.0,3.0,1,1,32.0
90,Unnamed Property,C 706 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Built Up Area,1070.0,6448.0,7.0,2,2,69.0
91,Ashok Vihar ,C 001 Marol Mumbai,C- Marol,10+ Year,Ready To Move,Built Up Area,835.0,26168.0,0.0,2,2,140.0
92,Unnamed Property,2303 Solitaire A Wing Near Everest World Kolshet Road 400607 Kolshet Road Thane Mumbai,Road Thane,1 to 5 Year,Ready To Move,Super Built Up Area,650.0,11230.0,23.0,1,2,73.0
93,Vision Phoenix Heights ,Kalamboli Roadpali Navi Mumbai Mumbai,Roadpali Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,810.0,7654.0,10.0,1,1,62.0
94,Unnamed Property,Kalina Mumbai South West Mumbai,Kalina Mumbai,10+ Year,Ready To Move,Built Up Area,1943.875,28780.0,2.0,6,4,399.5
95,Lodha Enchante ,Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Carpet Area,463.0,33477.0,15.0,1,1,155.0
96,Vardhaman Vatika Vasind ,Vasind Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Built Up Area,854.0,3747.0,1.0,2,2,32.0
97,Unnamed Property,Ramdev Park Ramdev Park Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Plot Area,1943.875,18666.0,4.0,6,7,399.5
98,Arihant Anshula ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1082.0,4621.0,4.0,2,2,50.0
99,Unnamed Property,Kopargaon Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Carpet Area,419.0,10023.0,1.0,1,1,42.0
100,Chandak Sparkling Wings ,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Carpet Area,404.0,21783.0,18.0,1,2,83.0
101,Emgee Greens ,Wadala Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,1075.0,16744.0,3.0,2,2,180.0
102,Romell Shraddha ,401 And 402 IC Colony Mumbai,Ic Colony,1 to 5 Year,Ready To Move,Carpet Area,1804.0,27716.0,4.0,6,3,399.5
103,Unnamed Property,Saki Vihar Road Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1370.0,25547.0,1.0,3,3,350.0
104,Unnamed Property,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Plot Area,210.0,43437.375,4.0,5,4,399.5
105,Lodha Luxuria ,Ffb 2301 Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Carpet Area,804.0,21019.0,23.0,2,2,169.0
106,Ekta Parksville ,Lincoln Park D 201 Virar West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Under Construction,Carpet Area,667.0,7196.0,2.0,2,2,48.0
107,Lifescapes Mirage ,Matunga West South Mumbai Mumbai,Matunga Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1265.0,43437.375,5.0,2,2,350.0
108,Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,1012.0,19763.0,1.0,2,2,195.0
109,Unnamed Property,A Wing 101 Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,1070.0,16355.0,1.0,3,2,160.0
110,Krishna Vatika CHS ,Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Super Built Up Area,900.0,16111.0,7.0,2,2,145.0
111,Vastu Aarav Heights ,Dombivli West Dombivli West Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,370.0,7973.0,7.0,1,1,29.5
112,Unnamed Property,Thane West Thane Mumbai,Thane Thane,10+ Year,Ready To Move,Carpet Area,435.0,18390.0,5.0,1,1,80.0
113,Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,585.0,12820.0,7.0,2,2,75.0
114,Unnamed Property,Virar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Built Up Area,765.0,6013.0,11.0,1,2,46.0
115,Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Carpet Area,989.0,17189.0,20.0,3,3,170.0
116,Tata Amantra ,H 043 Avhani Tower Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1017.0,6391.0,4.0,2,1,65.0
117,RNA NG Regency ,Thane Bhiwandi Road Next To Dosti West County Balkum Thane Mumbai,Balkum Thane,5 to 10 Year,Ready To Move,Super Built Up Area,672.0,7872.0,3.0,1,1,52.0
118,Unnamed Property,102 Sector 8 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,950.0,10526.0,1.0,2,2,100.0
119,Goodbuild Shepherd Residency ,1601 A Wing Mitha Nagar Mumbai,Mitha Nagar,10+ Year,Ready To Move,Super Built Up Area,855.0,18713.0,16.0,2,2,160.0
120,Unnamed Property,Hiranandani Estate Thane Mumbai,Hiranandani-Estate Thane,10+ Year,Ready To Move,Carpet Area,1400.0,22142.0,11.0,3,3,310.0
121,Unnamed Property,Sindhu Wadi Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1943.875,28235.0,3.0,4,4,399.5
122,Serenity Heights ,Marol Mumbai,Marol Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1113.0,29649.0,2.0,3,3,330.0
123,Riddhi Siddhi CHS ,504 Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,610.0,17213.0,5.0,1,2,105.0
124,Lodha Amara ,Kolshet Road Thane Mumbai,Road Thane,1 to 5 Year,Ready To Move,Carpet Area,557.0,15978.0,21.0,2,2,89.0
125,Vakratunda Palace ,B 1104 vakratunda Palace tank Road bhandup West Valmiki Nagar Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,678.0,24337.0,11.0,2,2,165.0
126,Unnamed Property,Santacruz West Mumbai South West Mumbai,Santacruz Mumbai,5 to 10 Year,Ready To Move,Carpet Area,960.0,43437.375,9.0,3,3,399.5
127,Ganraj Beauty Landmark ,Bhandup West Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,367.0,21799.0,19.0,1,1,80.0
128,Tata Amantra ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Built Up Area,1071.0,7937.0,17.0,2,1,85.0
129,Unnamed Property,In Front Of D Mart Ghodbunder Road Thane Mumbai,Road Thane,1 to 5 Year,Ready To Move,Carpet Area,420.0,17857.0,4.0,1,2,75.0
130,Rohan Lifescapes Amrut Wadi ,183 Girgaum South Mumbai Mumbai,Girgaum Mumbai,0 to 1 Year,Ready To Move,Carpet Area,410.0,43437.375,18.0,1,1,183.0
131,Unnamed Property,Prabhadevi South Mumbai Mumbai,Prabhadevi Mumbai,10+ Year,Ready To Move,Carpet Area,700.0,43437.375,9.0,2,2,330.0
132,Unnamed Property,Dadar West South Mumbai Mumbai,Dadar Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1400.0,31428.0,3.0,4,3,399.5
133,Unnamed Property,Bhakti Mandir Thane Mumbai,Mandir Thane,10+ Year,Ready To Move,Carpet Area,757.0,19815.0,3.0,2,2,150.0
134,MICL Aaradhya Highpark ,Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Under Construction,Carpet Area,630.0,21904.0,1.0,2,2,138.0
135,Unnamed Property,C401 Muthaval Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,643.0,6414.0,4.0,1,1,39.0
136,Sark Park View ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,550.0,8909.0,5.0,1,2,49.0
137,Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,6190.0,4.0,2,2,65.0
138,Unnamed Property,Bhandup East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,503.0,15806.0,0.0,1,1,79.5
139,Balaji Symphony ,New Panvel New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,805.0,8695.0,21.0,1,1,70.0
140,Unnamed Property,Near Vandana Godavari Building Versova Mumbai,Building Versova,10+ Year,Ready To Move,Built Up Area,970.0,20834.0,1.0,2,2,215.0
141,Unnamed Property,Sector 16 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,500.0,13000.0,4.0,1,1,65.0
142,Unnamed Property,302 A3 Shree Datta Nagari Kalher Thane Mumbai,Kalher Thane,1 to 5 Year,Ready To Move,Built Up Area,720.0,3055.0,3.0,1,1,22.0
143,Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1000.0,8000.0,5.0,2,2,80.0
144,Wellwisher Town ,Khopoli Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Built Up Area,1000.0,7000.0,8.0,2,2,42.0
145,Unnamed Property,Khanda Colony Navi Mumbai Mumbai,Colony Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,913.0,9309.0,1.0,2,2,85.0
146,Unnamed Property,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,610.0,20819.0,12.0,2,2,127.0
147,Unnamed Property,102 Vakola Mumbai South West Mumbai,Vakola Mumbai,10+ Year,Ready To Move,Carpet Area,450.0,27777.0,1.0,2,2,125.0
148,Unnamed Property,Sector 24 Sector 24 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,575.0,6434.0,1.0,1,2,37.0
149,Unnamed Property,C15 Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,350.0,9714.0,3.0,1,1,34.0
150,Unnamed Property,C 5 d 4 Lokmanya Nagar Thane Mumbai,Nagar Thane,10+ Year,Ready To Move,Built Up Area,350.0,14285.0,0.0,1,1,50.0
151,Unnamed Property,Virar West Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Built Up Area,590.0,4746.0,3.0,1,1,28.0
152,Triveni Ultima Bliss ,1504 Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,758.0,7519.0,15.0,1,2,60.0
153,Unnamed Property,005 Chipale Navi Mumbai Mumbai,Chipale Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,950.0,6315.0,0.0,2,2,54.0
154,Unnamed Property,Old Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,750.0,12553.0,3.0,1,1,59.0
155,Sai Sastha Crystal ,1606 Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,337.0,20771.0,16.0,1,1,70.0
156,CGEWHO Kendriya Vihar ,C 7 11 Sector 11 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1200.0,9916.0,3.0,3,2,119.0
157,Mehek CHS ,Sector 12 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,545.0,16513.0,5.0,2,2,90.0
